V,energy
0.0,-1.0
0.06666666666666667,-1.0027000000000001
0.13333333333333333,-1.0098866666666666
0.2,-1.01994
0.26666666666666666,-1.0368399999999998
0.3333333333333333,-1.0569
0.4,-1.0831600000000001
0.4666666666666667,-1.1043133333333335
0.5333333333333333,-1.1371
0.6,-1.1697799999999998
0.6666666666666666,-1.2049333333333332
0.7333333333333333,-1.241946666666667
0.8,-1.2811800000000002
0.8666666666666667,-1.3284666666666667
0.9333333333333333,-1.3698000000000001
1.0,-1.4247
